series_id,contestant,mean_score,std_score
1,Frank Skinner,15.5,3.9370039370059056
1,Josh Widdicombe,15.666666666666666,4.412104562073146
1,Roisin Conaty,11.333333333333334,5.316640543300503
1,Romesh Ranganathan,15.5,4.460941604639093
1,Tim Key,14.666666666666666,4.08248290463863
2,Doc Brown,15.6,4.929503017546495
2,Joe Wilkinson,13.8,6.534523701081818
2,Jon Richardson,18.0,4.358898943540674
2,Katherine Ryan,18.8,6.648308055437865
2,Richard Osman,17.2,8.07465169527454
3,Al Murray,16.0,4.415880433163924
3,Dave Gorman,16.2,3.3466401061363023
3,Paul Chowdhry,13.2,5.263078946776306
3,Rob Beckett,17.4,2.6076809620810595
3,Sara Pascoe,14.4,3.2093613071762426
4,Hugh Dennis,16.125,3.181980515339464
4,Joe Lycett,17.0,2.5071326821120348
4,Lolly Adefope,15.625,3.0207614933986435
4,Mel Giedroyc,16.75,6.584614100852295
4,Noel Fielding,18.0,3.295017884191656
5,Aisling Bea,15.75,4.166190448976482
5,Bob Mortimer,17.25,2.052872551885702
5,Mark Watson,16.25,3.9551051999734645
5,Nish Kumar,13.375,2.38671920665766
5,Sally Phillips,16.25,2.052872551885702
6,Bob Mortimer,12.0,1.4142135623730951
6,Josh Widdicombe,18.5,0.7071067811865476
6,Katherine Ryan,17.5,3.5355339059327378
6,Noel Fielding,16.0,0.0
6,Rob Beckett,18.0,1.4142135623730951
7,Alice Levine,15.2,4.391911757866827
7,Asim Chaudhry,15.9,4.067486256208427
7,Liza Tarbuck,18.1,4.175324338699131
7,Russell Howard,17.0,4.0276819911981905
7,Tim Vine,17.5,4.790035954399972
8,James Acaster,16.5,2.718251071716682
8,Jessica Knappett,17.5,4.143267631552018
8,Kerry Godliman,17.6,2.8362729848243537
8,Phil Wang,13.3,3.2676869155073254
8,Rhod Gilbert,16.7,4.620004810002306
9,Iain Stirling,15.6,4.402019738458447
9,Joe Thomas,15.0,5.163977794943222
9,Lou Sanders,16.4,3.9214509786273974
9,Paul Sinha,13.6,4.087922591134904
9,Sian Gibson,14.3,2.8303906287138374
10,David Baddiel,12.8,3.190262963734773
10,Ed Gamble,16.7,2.4060109910158114
10,Jo Brand,15.4,3.3399933466334266
10,Katy Wix,15.8,4.917090377222873
10,Rose Matafeo,15.9,2.8460498941515415
11,Daisy May Cooper,15.8,5.1380930314660525
11,Johnny Vegas,13.9,3.634709219609061
11,Katherine Parkinson,11.8,5.028805910838962
11,Mawaan Rizwan,15.1,4.04007700696685
11,Richard Herring,16.2,5.0508525133002165
12,John Hannah,10.0,
12,Krishnan Guru-Murthy,12.0,
12,Nicola Coughlan,10.0,
12,Rylan Clark-Neal,13.0,
12,Shirley Ballas,17.0,
13,Charlotte Ritchie,12.5,4.27525177946022
13,Jamali Maddix,13.7,3.802046232695699
13,Lee Mack,15.1,4.724639903973871
13,Mike Wozniak,15.4,4.033195589934446
13,Sarah Kendall,15.8,3.8528488738133038
14,Alan Davies,16.1,3.2812599206199233
14,Desiree Burch,16.1,4.605552204797065
14,Guz Khan,16.7,4.547282460742655
14,Morgana Robinson,16.8,1.8737959096740262
14,Victoria Coren Mitchell,12.1,3.212821536005731
15,Adrian Chiles,22.0,
15,Claudia Winkleman,6.0,
15,Jonnie Peacock,15.0,
15,Lady Leshurr,12.0,
15,Sayeeda Warsi,13.0,
16,Ardal O'Hanlon,15.3,3.7133393177689658
16,Bridget Christie,15.7,5.417051268397268
16,Chris Ramsey,17.0,3.741657386773941
16,Judi Love,14.2,4.315347288715269
16,Sophie Duker,17.3,4.762119042797836
17,Ed Gamble,11.0,
17,Kerry Godliman,12.0,
17,Liza Tarbuck,14.0,
17,Lou Sanders,12.0,
17,Richard Herring,17.0,
18,Dara Ó Briain,18.4,5.966573556070519
18,Fern Brady,14.4,4.971027168615267
18,John Kearns,14.4,5.316640543300503
18,Munya Chawawa,15.0,4.737556801183965
18,Sarah Millican,17.4,2.0655911179772892
19,Amelia Demoldenberg,14.0,
19,Carol Vorderman,14.0,
19,Greg James,14.0,
19,Mo Farah,20.0,
19,Rebecca Lucy Taylor,14.0,
20,Frankie Boyle,15.0,3.1269438398822866
20,Ivo Graham,13.1,4.2282121254470875
20,Jenny Eclair,15.2,4.391911757866828
20,Kiell Smith-Bynoe,15.8,5.43241300999023
20,Mae Martin,17.4,4.812021982031624
21,Julian Clary,15.375,3.292307050426146
21,Lucy Beaumont,13.25,4.949747468305833
21,Sam Campbell,16.875,4.0155946010522525
21,Sue Perkins,13.25,4.464142854857069
21,Susan Wokoma,13.625,4.138236339311712
