episode,episode_label,contestant,episode_score,series_id,episode_in_series,cumulative_score,mean_score_so_far,std_score_so_far,recent_avg_score,momentum,episodes_played
1,Melon buffet.,Frank Skinner,19,1,1,19,19.0,0.0,19.0,0.0,1
1,Melon buffet.,Josh Widdicombe,13,1,1,13,13.0,0.0,13.0,0.0,1
1,Melon buffet.,Roisin Conaty,7,1,1,7,7.0,0.0,7.0,0.0,1
1,Melon buffet.,Romesh Ranganathan,19,1,1,19,19.0,0.0,19.0,0.0,1
1,Melon buffet.,Tim Key,17,1,1,17,17.0,0.0,17.0,0.0,1
2,The pie whisperer.,Frank Skinner,9,1,2,28,14.0,7.0710678118654755,14.0,0.0,2
2,The pie whisperer.,Josh Widdicombe,16,1,2,29,14.5,2.1213203435596424,14.5,0.0,2
2,The pie whisperer.,Roisin Conaty,21,1,2,28,14.0,9.899494936611665,14.0,0.0,2
2,The pie whisperer.,Romesh Ranganathan,14,1,2,33,16.5,3.5355339059327378,16.5,0.0,2
2,The pie whisperer.,Tim Key,18,1,2,35,17.5,0.7071067811865476,17.5,0.0,2
3,The poet and the egg.,Frank Skinner,15,1,3,43,14.333333333333334,5.033222956847166,12.0,-2.333333333333334,3
3,The poet and the egg.,Josh Widdicombe,22,1,3,51,17.0,4.58257569495584,19.0,2.0,3
3,The poet and the egg.,Roisin Conaty,9,1,3,37,12.333333333333334,7.571877794400365,15.0,2.666666666666666,3
3,The poet and the egg.,Romesh Ranganathan,22,1,3,55,18.333333333333332,4.041451884327381,18.0,-0.33333333333333215,3
3,The poet and the egg.,Tim Key,16,1,3,51,17.0,1.0,17.0,0.0,3
4,Down an octave.,Frank Skinner,14,1,4,57,14.25,4.112987559751022,14.5,0.25,4
4,Down an octave.,Josh Widdicombe,16,1,4,67,16.75,3.774917217635375,19.0,2.25,4
4,Down an octave.,Roisin Conaty,9,1,4,46,11.5,6.4031242374328485,9.0,-2.5,4
4,Down an octave.,Romesh Ranganathan,10,1,4,65,16.25,5.315072906367325,16.0,-0.25,4
4,Down an octave.,Tim Key,9,1,4,60,15.0,4.08248290463863,12.5,-2.5,4
5,Little denim shorts.,Frank Skinner,20,1,5,77,15.4,4.39317652729776,17.0,1.5999999999999996,5
5,Little denim shorts.,Josh Widdicombe,18,1,5,85,17.0,3.3166247903554,17.0,0.0,5
5,Little denim shorts.,Roisin Conaty,14,1,5,60,12.0,5.656854249492381,11.5,-0.5,5
5,Little denim shorts.,Romesh Ranganathan,16,1,5,81,16.2,4.604345773288535,13.0,-3.1999999999999993,5
5,Little denim shorts.,Tim Key,10,1,5,70,14.0,4.183300132670378,9.5,-4.5,5
6,The last supper.,Frank Skinner,16,1,6,93,15.5,3.9370039370059056,18.0,2.5,6
6,The last supper.,Josh Widdicombe,9,1,6,94,15.666666666666666,4.412104562073146,13.5,-2.166666666666666,6
6,The last supper.,Roisin Conaty,8,1,6,68,11.333333333333334,5.316640543300503,11.0,-0.3333333333333339,6
6,The last supper.,Romesh Ranganathan,12,1,6,93,15.5,4.460941604639093,14.0,-1.5,6
6,The last supper.,Tim Key,18,1,6,88,14.666666666666666,4.08248290463863,14.0,-0.6666666666666661,6
7,Fear of failure.,Doc Brown,9,2,1,9,9.0,0.0,9.0,0.0,1
7,Fear of failure.,Joe Wilkinson,8,2,1,8,8.0,0.0,8.0,0.0,1
7,Fear of failure.,Jon Richardson,18,2,1,18,18.0,0.0,18.0,0.0,1
7,Fear of failure.,Katherine Ryan,17,2,1,17,17.0,0.0,17.0,0.0,1
7,Fear of failure.,Richard Osman,20,2,1,20,20.0,0.0,20.0,0.0,1
8,Pork is a sausage.,Doc Brown,18,2,2,27,13.5,6.363961030678928,13.5,0.0,2
8,Pork is a sausage.,Joe Wilkinson,13,2,2,21,10.5,3.5355339059327378,10.5,0.0,2
8,Pork is a sausage.,Jon Richardson,25,2,2,43,21.5,4.949747468305833,21.5,0.0,2
8,Pork is a sausage.,Katherine Ryan,19,2,2,36,18.0,1.4142135623730951,18.0,0.0,2
8,Pork is a sausage.,Richard Osman,15,2,2,35,17.5,3.5355339059327378,17.5,0.0,2
9,A pistachio eclair.,Doc Brown,21,2,3,48,16.0,6.244997998398398,19.5,3.5,3
9,A pistachio eclair.,Joe Wilkinson,25,2,3,46,15.333333333333334,8.736894948054106,19.0,3.666666666666666,3
9,A pistachio eclair.,Jon Richardson,17,2,3,60,20.0,4.358898943540674,21.0,1.0,3
9,A pistachio eclair.,Katherine Ryan,30,2,3,66,22.0,7.0,24.5,2.5,3
9,A pistachio eclair.,Richard Osman,27,2,3,62,20.666666666666668,6.027713773341707,21.0,0.33333333333333215,3
10,Welcome to Rico Face.,Doc Brown,18,2,4,66,16.5,5.196152422706632,19.5,3.0,4
10,Welcome to Rico Face.,Joe Wilkinson,12,2,4,58,14.5,7.325753658611971,18.5,4.0,4
10,Welcome to Rico Face.,Jon Richardson,17,2,4,77,19.25,3.8622100754188224,17.0,-2.25,4
10,Welcome to Rico Face.,Katherine Ryan,15,2,4,81,20.25,6.701989754294367,22.5,2.25,4
10,Welcome to Rico Face.,Richard Osman,5,2,4,67,16.75,9.251126057585278,16.0,-0.75,4
11,There's strength in arches.,Doc Brown,12,2,5,78,15.6,4.929503017546495,15.0,-0.5999999999999996,5
11,There's strength in arches.,Joe Wilkinson,11,2,5,69,13.8,6.534523701081818,11.5,-2.3000000000000007,5
11,There's strength in arches.,Jon Richardson,13,2,5,90,18.0,4.358898943540674,15.0,-3.0,5
11,There's strength in arches.,Katherine Ryan,13,2,5,94,18.8,6.648308055437865,14.0,-4.800000000000001,5
11,There's strength in arches.,Richard Osman,19,2,5,86,17.2,8.07465169527454,12.0,-5.199999999999999,5
12,A pea in a haystack.,Al Murray,21,3,1,21,21.0,0.0,21.0,0.0,1
12,A pea in a haystack.,Dave Gorman,13,3,1,13,13.0,0.0,13.0,0.0,1
12,A pea in a haystack.,Paul Chowdhry,8,3,1,8,8.0,0.0,8.0,0.0,1
12,A pea in a haystack.,Rob Beckett,15,3,1,15,15.0,0.0,15.0,0.0,1
12,A pea in a haystack.,Sara Pascoe,16,3,1,16,16.0,0.0,16.0,0.0,1
13,The dong and the gong.,Al Murray,18,3,2,39,19.5,2.1213203435596424,19.5,0.0,2
13,The dong and the gong.,Dave Gorman,17,3,2,30,15.0,2.8284271247461903,15.0,0.0,2
13,The dong and the gong.,Paul Chowdhry,13,3,2,21,10.5,3.5355339059327378,10.5,0.0,2
13,The dong and the gong.,Rob Beckett,21,3,2,36,18.0,4.242640687119285,18.0,0.0,2
13,The dong and the gong.,Sara Pascoe,16,3,2,32,16.0,0.0,16.0,0.0,2
14,Little polythene grief cave.,Al Murray,9,3,3,48,16.0,6.244997998398398,13.5,-2.5,3
14,Little polythene grief cave.,Dave Gorman,21,3,3,51,17.0,4.0,19.0,2.0,3
14,Little polythene grief cave.,Paul Chowdhry,22,3,3,43,14.333333333333334,7.094598884597588,17.5,3.166666666666666,3
14,Little polythene grief cave.,Rob Beckett,19,3,3,55,18.333333333333332,3.0550504633038935,20.0,1.6666666666666679,3
14,Little polythene grief cave.,Sara Pascoe,17,3,3,49,16.333333333333332,0.5773502691896263,16.5,0.16666666666666785,3
15,A very nuanced character.,Al Murray,16,3,4,64,16.0,5.0990195135927845,12.5,-3.5,4
15,A very nuanced character.,Dave Gorman,17,3,4,68,17.0,3.265986323710904,19.0,2.0,4
15,A very nuanced character.,Paul Chowdhry,11,3,4,54,13.5,6.027713773341707,16.5,3.0,4
15,A very nuanced character.,Rob Beckett,15,3,4,70,17.5,3.0,17.0,-0.5,4
15,A very nuanced character.,Sara Pascoe,14,3,4,63,15.75,1.2583057392117916,15.5,-0.25,4
16,The F.I.P.,Al Murray,16,3,5,80,16.0,4.415880433163924,16.0,0.0,5
16,The F.I.P.,Dave Gorman,13,3,5,81,16.2,3.3466401061363023,15.0,-1.1999999999999993,5
16,The F.I.P.,Paul Chowdhry,12,3,5,66,13.2,5.263078946776306,11.5,-1.6999999999999993,5
16,The F.I.P.,Rob Beckett,17,3,5,87,17.4,2.6076809620810595,16.0,-1.3999999999999986,5
16,The F.I.P.,Sara Pascoe,9,3,5,72,14.4,3.2093613071762426,11.5,-2.9000000000000004,5
17,A fat bald white man.,Hugh Dennis,13,4,1,13,13.0,0.0,13.0,0.0,1
17,A fat bald white man.,Joe Lycett,17,4,1,17,17.0,0.0,17.0,0.0,1
17,A fat bald white man.,Lolly Adefope,13,4,1,13,13.0,0.0,13.0,0.0,1
17,A fat bald white man.,Mel Giedroyc,16,4,1,16,16.0,0.0,16.0,0.0,1
17,A fat bald white man.,Noel Fielding,18,4,1,18,18.0,0.0,18.0,0.0,1
18,Look at me.,Hugh Dennis,17,4,2,30,15.0,2.8284271247461903,15.0,0.0,2
18,Look at me.,Joe Lycett,13,4,2,30,15.0,2.8284271247461903,15.0,0.0,2
18,Look at me.,Lolly Adefope,18,4,2,31,15.5,3.5355339059327378,15.5,0.0,2
18,Look at me.,Mel Giedroyc,20,4,2,36,18.0,2.8284271247461903,18.0,0.0,2
18,Look at me.,Noel Fielding,18,4,2,36,18.0,0.0,18.0,0.0,2
19,Hollowing out a baguette.,Hugh Dennis,15,4,3,45,15.0,2.0,16.0,1.0,3
19,Hollowing out a baguette.,Joe Lycett,19,4,3,49,16.333333333333332,3.0550504633038935,16.0,-0.33333333333333215,3
19,Hollowing out a baguette.,Lolly Adefope,12,4,3,43,14.333333333333334,3.2145502536643185,15.0,0.6666666666666661,3
19,Hollowing out a baguette.,Mel Giedroyc,3,4,3,39,13.0,8.888194417315589,11.5,-1.5,3
19,Hollowing out a baguette.,Noel Fielding,19,4,3,55,18.333333333333332,0.5773502691896263,18.5,0.16666666666666785,3
20,Friendship is truth.,Hugh Dennis,17,4,4,62,15.5,1.9148542155126762,16.0,0.5,4
20,Friendship is truth.,Joe Lycett,19,4,4,68,17.0,2.8284271247461903,19.0,2.0,4
20,Friendship is truth.,Lolly Adefope,15,4,4,58,14.5,2.6457513110645907,13.5,-1.0,4
20,Friendship is truth.,Mel Giedroyc,24,4,4,63,15.75,9.105858919765158,13.5,-2.25,4
20,Friendship is truth.,Noel Fielding,23,4,4,78,19.5,2.380476142847617,21.0,1.5,4
21,Meat.,Hugh Dennis,21,4,5,83,16.6,2.966479394838265,19.0,2.3999999999999986,5
21,Meat.,Joe Lycett,18,4,5,86,17.2,2.489979919597747,18.5,1.3000000000000007,5
21,Meat.,Lolly Adefope,15,4,5,73,14.6,2.3021728866442674,15.0,0.40000000000000036,5
21,Meat.,Mel Giedroyc,21,4,5,84,16.8,8.228000972289685,22.5,5.699999999999999,5
21,Meat.,Noel Fielding,12,4,5,90,18.0,3.9370039370059056,17.5,-0.5,5
22,Spatchcock it.,Hugh Dennis,13,4,6,96,16.0,3.03315017762062,17.0,1.0,6
22,Spatchcock it.,Joe Lycett,14,4,6,100,16.666666666666668,2.581988897471611,16.0,-0.6666666666666679,6
22,Spatchcock it.,Lolly Adefope,19,4,6,92,15.333333333333334,2.7325202042558927,17.0,1.666666666666666,6
22,Spatchcock it.,Mel Giedroyc,16,4,6,100,16.666666666666668,7.366591251499344,18.5,1.8333333333333321,6
22,Spatchcock it.,Noel Fielding,15,4,6,105,17.5,3.7282703764614498,13.5,-4.0,6
23,No stars for naughty boys.,Hugh Dennis,20,4,7,116,16.571428571428573,3.1547394428670255,16.5,-0.07142857142857295,7
23,No stars for naughty boys.,Joe Lycett,20,4,7,120,17.142857142857142,2.6726124191242437,17.0,-0.14285714285714235,7
23,No stars for naughty boys.,Lolly Adefope,20,4,7,112,16.0,3.0550504633038935,19.5,3.5,7
23,No stars for naughty boys.,Mel Giedroyc,13,4,7,113,16.142857142857142,6.8660656232559525,14.5,-1.6428571428571423,7
23,No stars for naughty boys.,Noel Fielding,19,4,7,124,17.714285714285715,3.450327796711771,17.0,-0.7142857142857153,7
24,Tony Three Pies.,Hugh Dennis,13,4,8,129,16.125,3.181980515339464,16.5,0.375,8
24,Tony Three Pies.,Joe Lycett,16,4,8,136,17.0,2.5071326821120348,18.0,1.0,8
24,Tony Three Pies.,Lolly Adefope,13,4,8,125,15.625,3.0207614933986435,16.5,0.875,8
24,Tony Three Pies.,Mel Giedroyc,21,4,8,134,16.75,6.584614100852295,17.0,0.25,8
24,Tony Three Pies.,Noel Fielding,20,4,8,144,18.0,3.295017884191656,19.5,1.5,8
25,Dignity intact.,Aisling Bea,13,5,1,13,13.0,0.0,13.0,0.0,1
25,Dignity intact.,Bob Mortimer,18,5,1,18,18.0,0.0,18.0,0.0,1
25,Dignity intact.,Mark Watson,17,5,1,17,17.0,0.0,17.0,0.0,1
25,Dignity intact.,Nish Kumar,13,5,1,13,13.0,0.0,13.0,0.0,1
25,Dignity intact.,Sally Phillips,14,5,1,14,14.0,0.0,14.0,0.0,1
26,The leprechaun or the lesbian.,Aisling Bea,17,5,2,30,15.0,2.8284271247461903,15.0,0.0,2
26,The leprechaun or the lesbian.,Bob Mortimer,16,5,2,34,17.0,1.4142135623730951,17.0,0.0,2
26,The leprechaun or the lesbian.,Mark Watson,19,5,2,36,18.0,1.4142135623730951,18.0,0.0,2
26,The leprechaun or the lesbian.,Nish Kumar,19,5,2,32,16.0,4.242640687119285,16.0,0.0,2
26,The leprechaun or the lesbian.,Sally Phillips,20,5,2,34,17.0,4.242640687119285,17.0,0.0,2
27,Phoenix.,Aisling Bea,13,5,3,43,14.333333333333334,2.3094010767585034,15.0,0.6666666666666661,3
27,Phoenix.,Bob Mortimer,17,5,3,51,17.0,1.0,16.5,-0.5,3
27,Phoenix.,Mark Watson,15,5,3,51,17.0,2.0,17.0,0.0,3
27,Phoenix.,Nish Kumar,12,5,3,44,14.666666666666666,3.7859388972001824,15.5,0.8333333333333339,3
27,Phoenix.,Sally Phillips,16,5,3,50,16.666666666666668,3.0550504633038935,18.0,1.3333333333333321,3
28,Residue around the hoof.,Aisling Bea,24,5,4,67,16.75,5.188127472091127,18.5,1.75,4
28,Residue around the hoof.,Bob Mortimer,21,5,4,72,18.0,2.160246899469287,19.0,1.0,4
28,Residue around the hoof.,Mark Watson,24,5,4,75,18.75,3.8622100754188224,19.5,0.75,4
28,Residue around the hoof.,Nish Kumar,12,5,4,56,14.0,3.366501646120693,12.0,-2.0,4
28,Residue around the hoof.,Sally Phillips,15,5,4,65,16.25,2.6299556396765835,15.5,-0.75,4
29,A wind-dried puffin.,Aisling Bea,15,5,5,82,16.4,4.560701700396552,19.5,3.1000000000000014,5
29,A wind-dried puffin.,Bob Mortimer,14,5,5,86,17.2,2.588435821108957,17.5,0.3000000000000007,5
29,A wind-dried puffin.,Mark Watson,16,5,5,91,18.2,3.5637059362410923,20.0,1.8000000000000007,5
29,A wind-dried puffin.,Nish Kumar,13,5,5,69,13.8,2.949576240750525,12.5,-1.3000000000000007,5
29,A wind-dried puffin.,Sally Phillips,14,5,5,79,15.8,2.489979919597747,14.5,-1.3000000000000007,5
30,Spoony Neeson.,Aisling Bea,17,5,6,99,16.5,4.08656334834051,16.0,-0.5,6
30,Spoony Neeson.,Bob Mortimer,18,5,6,104,17.333333333333332,2.3380903889000244,16.0,-1.3333333333333321,6
30,Spoony Neeson.,Mark Watson,13,5,6,104,17.333333333333332,3.829708431025352,14.5,-2.833333333333332,6
30,Spoony Neeson.,Nish Kumar,12,5,6,81,13.5,2.7386127875258306,12.5,-1.0,6
30,Spoony Neeson.,Sally Phillips,18,5,6,97,16.166666666666668,2.401388487243717,16.0,-0.16666666666666785,6
31,Boing boing.,Aisling Bea,17,5,7,116,16.571428571428573,3.7352886036263584,17.0,0.42857142857142705,7
31,Boing boing.,Bob Mortimer,18,5,7,122,17.428571428571427,2.14919697074224,18.0,0.571428571428573,7
31,Boing boing.,Mark Watson,15,5,7,119,17.0,3.6055512754639887,14.0,-3.0,7
31,Boing boing.,Nish Kumar,12,5,7,93,13.285714285714286,2.563479777846623,12.0,-1.2857142857142865,7
31,Boing boing.,Sally Phillips,16,5,7,113,16.142857142857142,2.193062655175134,17.0,0.8571428571428577,7
32,Their water's so delicious.,Aisling Bea,10,5,8,126,15.75,4.166190448976482,13.5,-2.25,8
32,Their water's so delicious.,Bob Mortimer,16,5,8,138,17.25,2.052872551885702,17.0,-0.25,8
32,Their water's so delicious.,Mark Watson,11,5,8,130,16.25,3.9551051999734645,13.0,-3.25,8
32,Their water's so delicious.,Nish Kumar,14,5,8,107,13.375,2.38671920665766,13.0,-0.375,8
32,Their water's so delicious.,Sally Phillips,17,5,8,130,16.25,2.052872551885702,16.5,0.25,8
33,Wiley giraffe blower.,Bob Mortimer,11,6,1,11,11.0,0.0,11.0,0.0,1
33,Wiley giraffe blower.,Josh Widdicombe,19,6,1,19,19.0,0.0,19.0,0.0,1
33,Wiley giraffe blower.,Katherine Ryan,20,6,1,20,20.0,0.0,20.0,0.0,1
33,Wiley giraffe blower.,Noel Fielding,16,6,1,16,16.0,0.0,16.0,0.0,1
33,Wiley giraffe blower.,Rob Beckett,19,6,1,19,19.0,0.0,19.0,0.0,1
34,I've sinned again.,Bob Mortimer,13,6,2,24,12.0,1.4142135623730951,12.0,0.0,2
34,I've sinned again.,Josh Widdicombe,18,6,2,37,18.5,0.7071067811865476,18.5,0.0,2
34,I've sinned again.,Katherine Ryan,15,6,2,35,17.5,3.5355339059327378,17.5,0.0,2
34,I've sinned again.,Noel Fielding,16,6,2,32,16.0,0.0,16.0,0.0,2
34,I've sinned again.,Rob Beckett,17,6,2,36,18.0,1.4142135623730951,18.0,0.0,2
35,The old soft curved padlock.,Alice Levine,18,7,1,18,18.0,0.0,18.0,0.0,1
35,The old soft curved padlock.,Asim Chaudhry,8,7,1,8,8.0,0.0,8.0,0.0,1
35,The old soft curved padlock.,Liza Tarbuck,17,7,1,17,17.0,0.0,17.0,0.0,1
35,The old soft curved padlock.,Russell Howard,18,7,1,18,18.0,0.0,18.0,0.0,1
